CHRONIQUE	NOMcom	chonneur
DE	PRE	de
MOREE	NOMpro	Moree
C'	PROdem	ce
est	VERcjg	estre
le	DETdef	le
livre	NOMcom	livre
de	PRE	de
la	DETdef	le
conqueste	NOMcom	conquête
de	PRE	de
Constantinople	NOMpro	Constantinople
et	CONcoo	et
de	PRE	de
l'	DETdef	le
empire	NOMcom	empire
de	PRE	de
Romanie	NOMpro	Romanie
,	PONfbl	,
et	CONcoo	et
dou	PRE.DETdef	de.le
pays	NOMcom	pays
de	PRE	de
la	DETdef	le
princee	NOMcom	prince
de	PRE	de
la	DETdef	le
Moree	NOMpro	Moree
,	PONfbl	,
qui	PROrel	que
fu	VERcjg	estre
trove	VERppe	trover
en	PRE	en
un	DETndf	un
livre	NOMcom	livre
qui	PROrel	que
fu	VERcjg	estre
jadis	ADVgen	jadis
del	PRE.DETdef	de
noble	ADJqua	noble
baron	NOMcom	baron
messire	NOMcom	seignor
Bartholomee	NOMpro	Bartholomee
Guys	NOMpro	Guys
,	PONfbl	,
le	DETdef	le
grant	ADJqua	grant
connestable	NOMcom	connétable
;	PONfbl	;
lequel	DETrel	lequel
livre	NOMcom	livre
il	PROper	il
avoit	VERcjg	avoir
en	PRE	en
son	DETpos	son
chastel	NOMcom	chastel
d'	PRE	de
Estives	NOMpro	Estive
.	PONfrt	.

Pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
aucunes	DETind	aucun
gens	NOMcom	gens
sont	VERcjg	estre
par	PRE	par
le	DETdef	le
monde	NOMcom	monde
moult	ADVgen	moult
negligent	ADJqua	négligent
,	PONfbl	,
et	CONcoo	et
lor	PROper	il
annuye	VERcjg	ennuyer
de	PRE	de
auir	VERinf	ouïr
une	DETndf	un
longue	ADJqua	lonc
estoire	NOMcom	estoire
ordonnéement	ADVgen	ordonnément
faite	VERppe	faire
et	CONcoo	et
devisée	VERppe	deviser
,	PONfbl	,
et	CONcoo	et
ayment	VERcjg	aimer
anchois	ADVgen	ainçois
que	CONsub	que
on	PROind	on
leur	PROper	leur
conte	VERcjg	conter
en	PRE	en
briez	ADJqua	bref
paroles	NOMcom	parole
,	PONfbl	,
si	ADVgen	si
vous	PROper	vous
diray	VERcjg	dire
mon	DETpos	mon
compte	NOMcom	conte
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
ainxi	ADVgen	ainsi
com	CONsub	come
je	PROper	je
trovay	VERcjg	trouver
par	PRE	par
escript	NOMcom	écrit
,	PONfbl	,
mais	CONcoo	mais
au	PRE.DETdef	a
plus	ADVgen	plus
brief	ADJqua	bref
que	PROrel	que
je	PROper	je
pourray	VERcjg	pouvoir
.	PONfrt	.

Que	CONsub	que
cescuns	PROind	chacun
l'	PROper	il
entende	VERcjg	entendre
de	PRE	de
bon	ADJqua	bon
cuer	NOMcom	cuer
et	CONcoo	et
de	PRE	de
bonne	ADJqua	bon
voulenté	NOMcom	volonté
.	PONfrt	.

Il	PROimp	il
est	VERcjg	estre
voirs	ADJqua	voir
,	PONfbl	,
selonc	PRE	selon
ce	PROdem	ce
que	PROrel	que
la	DETdef	le
grant	ADJqua	grant
estoire	NOMcom	estoire
dou	PRE.DETdef	de.le
reaulme	NOMcom	royaume
de	PRE	de
Jherusalem	NOMpro	Jérusalem
nous	PROper	nous
raconte	VERcjg	raconter
et	CONcoo	et
tesmoigne	VERcjg	témoigner
,	PONfbl	,
que	CONsub	que
a	PRE	a
mil	DETcar	mille
.c	DETcar	cent
iiij.ans	NOMcom	iten
puis	PRE	puis
l'	DETdef	le
incarnation	NOMcom	incarnation
Nostre	DETpos	notre
Seignor	NOMcom	seignor
Dieu	NOMpro	Dieu
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
que	CONsub	que
le	DETdef	le
prince	NOMcom	prince
et	CONcoo	et
li	DETdef	le
autre	ADJind	autre
noble	ADJqua	noble
homme	NOMcom	homme
dou	PRE.DETdef	de.le
royaulme	NOMcom	royaume
de	PRE	de
France	NOMpro	France
et	CONcoo	et
des	PRE.DETdef	de.le
autres	ADJind	autre
regions	NOMcom	région
de	PRE	de
Ponent	NOMpro	Ponant
firent	VERcjg	faire
le	DETdef	le
passage	NOMcom	passage
par	PRE	par
le	DETdef	le
pourchas	NOMcom	pourchas
et	CONcoo	et
enortement	NOMcom	enhortement
de	PRE	de
frere	NOMcom	frère
Pierre	NOMpro	Pierre
l'	DETdef	le
Ermite	NOMpro	Ermite
.	PONfrt	.

Et	CONcoo	et
passerent	VERcjg	passer
par	PRE	par
Constantinople	NOMpro	Constantinople
et	CONcoo	et
conquesterent	VERcjg	conquêter
le	DETdef	le
pays	NOMcom	pays
dou	PRE.DETdef	de.le
Levant	NOMpro	Levant
et	CONcoo	et
le	PROper	il
acquiterent	VERcjg	acquitter
a	PRE	a
l'	DETdef	le
empereor	NOMcom	empereur
grec	ADJqua	grec
Alecxi	NOMpro	Alexis
Vaitachi	NOMpro	Vatace
,	PONfbl	,
qui	PROrel	que
lors	ADVgen	lors
estoit	VERcjg	estre
,	PONfbl	,
par	PRE	par
convenenches	NOMcom	convenance
faites	VERppe	faire
et	CONcoo	et
ordennés	VERppe	ordonner
,	PONfbl	,
qu'	CONsub	que
il	PROper	il
les	PROper	il
devoit	VERcjg	devoir
accompaignier	VERinf	accompagner
en	PRE	en
personne	NOMcom	personne
ou	PRE	o
tout	DETind	tout
son	DETpos	son
pooir	NOMcom	pouvoir
,	PONfbl	,
pour	PRE	pour
conquester	VERinf	conquêter
la	DETdef	le
saincte	ADJqua	saint
terre	NOMcom	terre
de	PRE	de
Jherusalem	NOMpro	Jérusalem
;	PONfbl	;
de	PRE	de
quoy	PROrel	quoi
il	PROper	il
leur	PROper	leur
failli	VERcjg	faillir
puis	ADVgen	puis
que	CONsub	que
il	PROper	il
ot	VERcjg	avoir
le	DETdef	le
pays	NOMcom	pays
en	PRE	en
sa	DETpos	son
main	NOMcom	main
.	PONfrt	.

Et	CONcoo	et
nostre	DETpos	notre
gent	NOMcom	gent
alerent	VERcjg	aller
par	PRE	par
la	DETdef	le
cité	NOMcom	cité
d'	PRE	de
Anthioce	NOMpro	Antioche
et	CONcoo	et
la	PROper	il
prinrent	VERcjg	prendre
;	PONfbl	;
et	CONcoo	et
puis	ADVgen	puis
alerent	VERcjg	aller
tout	ADVgen	tout
droit	ADVgen	droit
a	PRE	a
conquerre	VERinf	conquerre
le	DETdef	le
