LIVRE	NOMcom	livre
VIII	DETcar	uit
CHAPITRE	ETR	chapire
I	PROcar	un
De	PRE	de
l'	DETdef	le
ordre	NOMcom	ordre
et	CONcoo	et
prouvision	NOMcom	provision
que	PROrel	que
le	DETdef	le
roy	NOMcom	roi
mit	VERcjg	mettre
au	PRE.DETdef	a
royaume	NOMcom	royaume
de	PRE	de
Naples	NOMpro	Nauplie
,	PONfbl	,
voulant	VERppa	vouloir
retourner	VERinf	retourner
en	PRE	en
France	NOMpro	France
Pour	PRE	pour
myeulx	ADVgen	mieux
continuer	VERinf	continuer
mes	DETpos	mon
memoires	NOMcom	mémoire
et	CONcoo	et
vous	PROper	vous
informer	VERinf	informer
,	PONfbl	,
me	PROper	je
fault	VERcjg	falir
retourner	VERinf	retourner
à	PRE	à
parler	VERinf	parler
du	PRE.DETdef	de.le
roy	NOMcom	roi
,	PONfbl	,
qui	PROrel	que
,	PONfbl	,
despuis	ADVgen	despuis
qu'	CONsub	que
il	PROper	il
entra	VERcjg	entrer
à	PRE	à
Napples	NOMpro	Nauplie
jusques	PRE	jusque
il	PROper	il
en	PRE	en
partir	VERinf	partir
,	PONfbl	,
ne	ADVneg	ne
pensa	VERcjg	penser
que	ADVgen	que
à	PRE	à
passer	VERinf	passer
temps	NOMcom	temps
,	PONfbl	,
et	CONcoo	et
d'	PRE	de
aultres	PROind	autre
à	PRE	à
prendre	VERinf	prendre
et	CONcoo	et
prouffiter	VERinf	profiter
;	PONfbl	;
mais	CONcoo	mais
son	DETpos	son
eage	NOMcom	âge
l'	PROper	il
excusoit	VERcjg	excuser
:	PONfbl	:
nul	PROind	nul
ne	ADVneg	ne
sçauroit	VERcjg	savoir
excuser	VERinf	excuser
les	DETdef	le
aultres	PROind	autre
de	PRE	de
leur	DETpos	leur
faulte	NOMcom	faute
,	PONfbl	,
car	CONcoo	car
le	DETdef	le
roy	NOMcom	roi
de	PRE	de
toutes	DETind	tous
choses	NOMcom	chose
les	PROper	il
croyoit	VERcjg	croyer
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
s'	CONsub	se
ilz	PROper	il
luy	PROper	lui
eussent	VERcjg	avoir
sceü	VERppe	savoir
dire	VERinf	dire
qu'	CONsub	que
il	PROper	il
eust	VERcjg	avoir
bien	ADVgen	bien
pourveü	VERppe	pourvoir
trois	DETcar	trois
ou	CONcoo	o
quatre	DETcar	quatre
chasteaulx	NOMcom	château
,	PONfbl	,
il	PROper	il
tint	VERcjg	tenir
encores	ADVgen	encore
le	DETdef	le
royaulme	NOMcom	royaume
,	PONfbl	,
ou	CONcoo	o
seullement	ADVgen	seulement
Napples	NOMpro	Nauplie
,	PONfbl	,
dont	PROrel	dont
il	PROper	il
avoit	VERcjg	avoir
donné	VERppe	donner
les	DETdef	le
vivres	NOMcom	vivre
,	PONfbl	,
comme	CONsub	comme
ay	VERcjg	avoir
dict	VERppe	dire
,	PONfbl	,
et	CONcoo	et
celuy	PROdem	cel
de	PRE	de
Gayète	NOMpro	Gahite
;	PONfbl	;
mais	CONcoo	mais
,	PONfbl	,
en	PRE	en
gardant	VERppa	garder
celuy	PROdem	cel
de	PRE	de
Napples	NOMpro	Nauplie
,	PONfbl	,
jamais	ADVgen	jamais
la	DETdef	le
ville	NOMcom	ville
ne	ADVneg	ne
se	PROper	soi
fust	VERcjg	estre
rebellée	VERppe	rebeller
.	PONfrt	.

Il	PROper	il
tira	VERcjg	tirer
tous	DETind	tous
les	DETdef	le
gens	NOMcom	gens
d'	PRE	de
armes	NOMcom	arme
à	PRE	à
l'	DETdef	le
entour	NOMcom	entour
de	PRE	de
luy	PROper	lui
,	PONfbl	,
depuis	PRE	depuis
la	DETdef	le
conclusion	NOMcom	conclusion
de	PRE	de
la	DETdef	le
ligue	NOMcom	ligue
,	PONfbl	,
et	CONcoo	et
ordonna	VERcjg	ordonner
cinq	DETcar	cinq
cens	DETcar	cent
hommes	NOMcom	homme
d'	PRE	de
armes	NOMcom	arme
françoys	ADJqua	françois
et	CONcoo	et
deux	DETcar	deux
mil	DETcar	mille
cinq	DETcar	cinq
cens	DETcar	cent
Suisses	NOMpro	Suisse
et	CONcoo	et
quelque	DETind	quel
poy	ADVgen	poi
de	PRE	de
gens	NOMcom	gens
de	PRE	de
pied	NOMcom	pied
françoys	ADJqua	françois
pour	PRE	pour
la	DETdef	le
garde	NOMcom	garde
du	PRE.DETdef	de.le
royaulme	NOMcom	royaume
,	PONfbl	,
et	CONcoo	et
avec	PRE	avec
le	DETdef	le
reste	NOMcom	reste
delibera	VERcjg	délibérer
s'	PROper	soi
en	PROadv	en
retourner	VERinf	retourner
en	PRE	en
France	NOMpro	France
par	PRE	par
le	DETdef	le
chemin	NOMcom	chemin
qu'	PROrel	que
il	PROper	il
estoit	VERcjg	estre
venu	VERppe	venir
:	PONfbl	:
et	CONcoo	et
la	DETdef	le
ligue	NOMcom	ligue
se	PROper	soi
