Ici	ADVgen	ici
comencent	VERcjg	commencer
li	DETdef	le
capitel	NOMcom	chapitre
del	PRE.DETdef	de
secund	ADJord	second
liure	NOMcom	livre
.	PONfrt	.

I.	PROind	un
Del	PRE.DETdef	de
brisiet	VERppe	briser
tamis	NOMcom	tamis
et	CONcoo	et
refermeit	VERppe	refermer
.	PONfrt	.

II	PROcar	deux
.	PONfrt	.

De	PRE	de
la	DETdef	le
uencue	VERppe	vaincre
temptation	NOMcom	tentation
de	PRE	de
la	DETdef	le
char	NOMcom	char
.	PONfrt	.

III	PROcar	trois
.	PONfrt	.

De	PRE	de
l'	DETdef	le
ampolete	NOMcom	ampoulette
de	PRE	de
uoire	NOMcom	verre
ki	PROrel	qui
rumpit	VERcjg	rompre
par	PRE	par
l'	DETdef	le
ensenge	NOMcom	enseigne
de	PRE	de
la	DETdef	le
croiz	NOMcom	croix
.	PONfrt	.

IIII	PROcar	quatre
.	PONfrt	.

Del	PRE.DETdef	de
moine	NOMcom	moine
de	PRE	de
uable	ADJqua	wable
pense	NOMcom	pense
ki	PROrel	qui
fut	VERcjg	être
remeneiz	VERppe	remener
a	PRE	a
salut	NOMcom	salut
.	PONfrt	.

V.	PROcar	cinq
De	PRE	de
l'	DETdef	le
aigue	NOMcom	aigue
cui	PROrel	que
il	PROper	il
en	PRE	en
la	DETdef	le
haltece	NOMcom	hautesse
del	PRE.DETdef	de
mont	NOMcom	monde
fors	ADVgen	fors
menat	VERcjg	mener
d'	PRE	de
une	DETndf	un
piere	NOMcom	pierre
.	PONfrt	.

VI	DETcar	six
.	PONfrt	.

Del	PRE.DETdef	de
fer	NOMcom	fer
ki	PROrel	qui
del	PRE.DETdef	de
parfont	NOMcom	parfond
de	PRE	de
l'	DETdef	le
aigue	NOMcom	aigue
retornat	VERcjg	retourner
a	PRE	a
son	DETpos	son
manoir	NOMcom	manoir
.	PONfrt	.

VII	PROcar	sept
.	PONfrt	.

De	PRE	de
son	DETpos	son
disciple	NOMcom	disciple
ki	PROrel	qui
alat	VERcjg	aller
sor	PRE	sor
les	DETdef	le
aigues	NOMcom	aigue
de	PRE	de
ses	DETpos	son
piez	NOMcom	pié
.	PONfrt	.

VIII	PROcar	huit
.	PONfrt	.

Del	PRE.DETdef	de
pain	NOMcom	pain
enfait	VERppe	infaire
del	PRE.DETdef	de
uenin	NOMcom	venin
,	PONfbl	,
ki	PROrel	qui
long	ADVgen	loin
fut	VERcjg	être
getteiz	VERppe	jeter
parmei	PRE	parmi
lo	DETdef	le
corbel	NOMcom	corbeau
.	PONfrt	.

VIIII	PROcar	neuf
.	PONfrt	.

De	PRE	de
la	DETdef	le
grande	ADJqua	grand
piere	NOMcom	pierre
ki	PROrel	qui
fut	VERcjg	être
alegie	VERppe	alléger
parmi	PRE	parmi
sa	DETpos	son
orison	NOMcom	oraison
.	PONfrt	.

X.	PROcar	dix
Del	PRE.DETdef	de
eschernissable	ADJqua	escharnissable
esprendement	NOMcom	esprendement
de	PRE	de
la	DETdef	le
coisine	NOMcom	cuisine
.	PONfrt	.

XI	PROcar	onze
.	PONfrt	.

Del	PRE.DETdef	de
mort	ADJqua	mort
enfanzon	NOMcom	enfançon
del	PRE.DETdef	de
serf	NOMcom	serf
de	PRE	de
deu	NOMpro	Dieu
,	PONfbl	,
ki	PROrel	qui
fut	VERcjg	être
debrisiez	VERppe	débriser
et	CONcoo	et
saneiz	VERppe	saner
.	PONfrt	.

XII	DETcar	douze
.	PONfrt	.

Des	PRE.DETdef	de
sers	NOMcom	serf
deu	NOMpro	Dieu
ki	PROrel	qui
prisent	VERcjg	prendre
lo	DETdef	le
mangier	VERinf	mangier
encontre	PRE	encontre
la	DETdef	le
reule	NOMcom	règle
.	PONfrt	.

XIII	DETcar	treize
.	PONfrt	.

Del	PRE.DETdef	de
frere	NOMcom	frère
Valentinien	NOMpro	Valentinien
lo	DETdef	le
moine	NOMcom	moine
alsi	ADVgen	aussi
com	CONsub	come
la	ADVgen	là
dessore	ADVgen	dessure
.	PONfrt	.

XIIII	PROcar	quatorze
.	PONfrt	.

De	PRE	de
la	DETdef	le
faintise	NOMcom	feintise
lo	DETdef	le
roi	NOMcom	roi
Totile	NOMpro	Totila
ki	PROrel	qui
fut	VERcjg	être
deprise	VERppe	déprendre
.	PONfrt	.

XV	DETcar	quinze
.	PONfrt	.

De	PRE	de
la	DETdef	le
prophetie	NOMcom	prophétie
ki	PROrel	qui
fut	VERcjg	être
faite	VERppe	faire
a	PRE	a
cel	DETdem	cil
meisme	ADJind	même
roi	NOMcom	roi
Totile	NOMpro	Totila
