Racompter	VERinf	raconter
veul	VERcjg	vouloir
une	DETndf	un
noble	ADJqua	noble
histoire	NOMcom	histoire
dont	PROrel	dont
l'en	PROind	loin
pourra	VERcjg	pouvoir
aprendre	VERinf	aprendre
mout	ADVgen	mout
de	PRE	de
bien	NOMcom	bien
et	CONcoo	et
de	PRE	de
exemplaire	VERinf	exemplaire
,	PONfbl	,
car	CONcoo	car
jeunes	ADJqua	jeune
gens	NOMcom	gens
doivent	VERcjg	devoir
ouir	VERinf	ouïr
et	CONcoo	et
entendre	VERinf	entendre
les	DETdef	le
bons	ADJqua	bon
fais	NOMcom	faix
et	CONcoo	et
dis	PROcar	dis
des	PRE.DETdef	de.le
bons	ADJqua	bon
anciens	ADJqua	ancien
qui	PROrel	que
ourent	VERcjg	avoir
mout	ADVgen	mout
de	PRE	de
biens	NOMcom	bien
en	PRE	en
leur	DETpos	leur
temps	NOMcom	temps
,	PONfbl	,
comment	ADVsub	comment
il	PROimp	il
advint	VERcjg	advenir
à	PRE	à
ung	DETndf	un
preudes	ADJqua	pro
homs	NOMcom	homme
et	CONcoo	et
loyaulx	NOMcom	loyal
mout	ADVgen	mout
de	PRE	de
pestillences	NOMcom	pestillance
et	CONcoo	et
de	PRE	de
douleurs	NOMcom	douleur
;	PONfbl	;
ce	PROdem	ce
fut	VERcjg	être
au	PRE.DETdef	a
roy	NOMcom	roi
Tiber	NOMpro	Tiber
de	PRE	de
Galice	NOMpro	Galice
.	PONfrt	.

Celuy	DETdem	cel
roy	NOMcom	roi
avoit	VERcjg	avoir
la	DETdef	le
seur	NOMcom	sor
au	PRE.DETdef	a
roy	NOMcom	roi
de	PRE	de
Arragon	NOMpro	Aragon
,	PONfbl	,
mout	ADVgen	mout
sainte	ADJqua	saint
dame	NOMcom	dame
et	CONcoo	et
de	PRE	de
sainte	ADJqua	saint
vie	NOMcom	vie
.	PONfrt	.

Si	ADVgen	si
ourent	VERcjg	avoir
ung	DETndf	un
filz	NOMcom	fil
qui	PROrel	que
oult	VERcjg	ouïr
nom	NOMcom	nom
Ponthus	NOMpro	Pontus
,	PONfbl	,
le	DETdef	le
plus	ADVgen	plus
bel	ADJqua	bel
enfant	NOMcom	enfant
et	CONcoo	et
le	DETdef	le
plus	ADVgen	plus
gracieux	ADJqua	gracïos
qui	PROrel	que
lors	ADVgen	lors
feust	VERcjg	être
veu	VERppe	voir
à	PRE	à
son	DETpos	son
temps	NOMcom	temps
.	PONfrt	.

Le	DETdef	le
