ENEAS	ADVgen	ens
Quant	CONsub	quand
Menelaus	NOMpro	Manelaut
ot	VERcjg	avoir
Troie	NOMpro	Troie
asise	VERppe	assëoir
,	PONfbl	,
onc	ADVgen	onc
n'	ADVneg	ne
en	PROadv	en
torna	VERcjg	torner
tresqu'	CONsub	tresque
il	PROper	il
l'	PROper	il
ot	VERcjg	avoir
prise	VERppe	prendre
,	PONfbl	,
gasta	VERcjg	gâter
la	DETdef	le
terre	NOMcom	terre
et	CONcoo	et
tot	DETind	tot
lo	DETdef	le
regne	NOMcom	règne
por	PRE	por
la	DETdef	le
vanjance	NOMcom	vengeance
de	PRE	de
sa	DETpos	son
fenne	NOMcom	fene
.	PONfrt	.

La	DETdef	le
cité	NOMcom	cité
prist	VERcjg	prendre
par	PRE	par
traïson	NOMcom	träison
,	PONfbl	,
tot	PROind	tot
cravanta	VERcjg	cravanter
,	PONfbl	,
tors	NOMcom	tort
et	CONcoo	et
donjon	NOMcom	donjon
,	PONfbl	,
arst	VERcjg	ardre
le	DETdef	le
païs	NOMcom	päis
,	PONfbl	,
destruist	VERcjg	détruire
les	DETdef	le
murs	NOMcom	mur
,	PONfbl	,
nus	PROind	nul
ne	ADVneg	ne
estoit	VERcjg	estre
dedanz	ADVgen	dedenz
seürs	ADJqua	sëur
;	PONfbl	;
tote	ADVgen	tot
a	VERcjg	avoir
la	DETdef	le
vile	NOMcom	vile
cravantee	VERppe	cravanter
,	PONfbl	,
a	PRE	a
feu	NOMcom	feu
,	PONfbl	,
a	PRE	a
flame	NOMcom	flame
l'	PROper	il
a	VERcjg	avoir
livree	VERppe	livrer
.	PONfrt	.

Li	DETdef	le
Greu	NOMpro	grieu
prenent	VERcjg	prendre
les	DETdef	le
citeains	ADJqua	citean
,	PONfbl	,
nus	PROind	nul
n'	ADVneg	ne
eschapot	VERcjg	échapper
d'	PRE	de
entre	PRE	entre
lor	DETpos	lor
mains	NOMcom	main
ne	ADVneg	ne
l'	PROper	il
esteüst	VERcjg	ester
morir	VERinf	morir
a	PRE	a
honte	NOMcom	honte
;	PONfbl	;
n'	ADVneg	ne
esparnoient	VERcjg	esparnir
prince	NOMcom	prince
ne	CONcoo	ne
conte	NOMcom	conte
;	PONfbl	;
