Monsieur	NOMcom	monsieur
l'	DETdef	le
arcevesque	NOMcom	archevêque
de	PRE	de
Vienne	NOMpro	Veine
,	PONfbl	,
pour	PRE	pour
satisfaire	VERinf	satisfaire
à	PRE	à
la	DETdef	le
requeste	NOMcom	requête
qu'	PROrel	que
il	PROimp	il
vous	PROper	vous
a	VERcjg	avoir
pleu	VERppe	plaire
me	PROper	je
faire	VERinf	faire
de	PRE	de
vous	PROper	vous
escrire	VERinf	escrire
et	CONcoo	et
mettre	VERinf	mettre
par	PRE	par
memoire	NOMcom	mémoire
ce	PROdem	ce
que	PROrel	que
j'	PROper	je
ay	VERcjg	avoir
sceu	VERppe	savoir
et	CONcoo	et
congneu	VERppe	connaître
des	PRE.DETdef	de.le
faictz	NOMcom	fait
du	PRE.DETdef	de.le
roy	NOMcom	roi
Loys	NOMpro	Loeïs
unziesme	ADJord	onzième
,	PONfbl	,
à	PRE	à
qui	PROrel	que
Dieu	NOMpro	Dieu
face	VERcjg	faire
pardon	NOMcom	pardon
,	PONfbl	,
nostre	DETpos	notre
maistre	NOMcom	maître
et	CONcoo	et
bienfaicteur	NOMcom	bienfaiteur
,	PONfbl	,
et	CONcoo	et
prince	NOMcom	prince
digne	ADJqua	digne
de	PRE	de
très	ADVgen	très
excellente	ADJqua	excellent
memoire	NOMcom	mémoire
,	PONfbl	,
je	PROper	je
l'	PROper	il
ay	VERcjg	avoir
faict	VERppe	faire
le	DETdef	le
plus	ADVgen	plus
près	ADVgen	près
de	PRE	de
la	DETdef	le
verité	NOMcom	verité
que	PROrel	que
j'	PROper	je
ay	VERcjg	avoir
peu	VERppe	pouvoir
et	CONcoo	et
sceu	VERppe	savoir
avoir	VERinf	avoir
souvenance	NOMcom	souvenance
.	PONfrt	.

Du	PRE.DETdef	de.le
temps	NOMcom	temps
de	PRE	de
sa	DETpos	son
jeunesse	NOMcom	jeunesse
ne	ADVneg	ne
scauroye	VERcjg	saurer
parler	VERinf	parler
,	PONfbl	,
sinon	PRE	sinon
par	PRE	par
ce	PROdem	ce
que	PROrel	que
je	PROper	je
luy	PROper	lui
en	PROadv	en
ay	VERcjg	avoir
ouy	VERppe	ouïr
parler	VERinf	parler
et	CONcoo	et
dire	VERinf	dire
;	PONfbl	;
mais	CONcoo	mais
,	PONfbl	,
depuis	PRE	depuis
le	DETdef	le
temps	NOMcom	temps
que	PROrel	que
je	PROper	je
veins	VERcjg	venir
en	PRE	en
son	DETpos	son
service	NOMcom	service
,	PONfbl	,
jusques	PRE	jusque
à	PRE	à
l'	DETdef	le
heure	NOMcom	heure
de	PRE	de
son	DETpos	son
trespas	NOMcom	trespas
,	PONfbl	,
où	PROrel	où
j'	PROper	je
estoye	VERcjg	estovoir
present	ADJqua	présent
,	PONfbl	,
ay	VERcjg	avoir
faict	VERppe	faire
plus	ADVgen	plus
continuelle	ADJqua	continuel
residence	NOMcom	résidence
avec	PRE	avec
luy	PROper	lui
que	CONsub	que
nul	DETind	nul
autre	PROind	autre
,	PONfbl	,
de	PRE	de
l'	DETdef	le
estat	NOMcom	état
à	PRE	à
quoy	PROrel	quoi
je	PROper	je
le	PROper	il
servoye	VERcjg	servir
,	PONfbl	,
qui	PROrel	que
,	PONfbl	,
pour	PRE	pour
le	DETdef	le
moins	NOMcom	moin
,	PONfbl	,
a	VERcjg	avoir
tousjours	ADVgen	toujours
esté	VERppe	être
de	PRE	de
chambellan	NOMcom	chambellant
,	PONfbl	,
ou	CONcoo	o
occuppé	VERppe	occuper
en	PRE	en
ses	DETpos	son
grans	ADJqua	grand
affaires	NOMcom	affaire
.	PONfrt	.

En	PRE	en
luy	PROper	lui
et	CONcoo	et
tous	DETind	tous
autres	ADJind	autre
princes	NOMcom	prince
que	PROrel	que
j'	PROper	je
ay	VERcjg	avoir
congneuz	VERppe	connaître
ou	CONcoo	o
servy	VERppe	servir
,	PONfbl	,
ay	VERcjg	avoir
congneu	VERppe	connaître
du	PRE.DETdef	de.le
bien	NOMcom	bien
et	CONcoo	et
du	PRE.DETdef	de.le
mal	NOMcom	mal
,	PONfbl	,
car	CONcoo	car
ilz	PROper	il
sont	VERcjg	estre
hommes	NOMcom	homme
comme	CONsub	comme
nous	PROper	nous
.	PONfrt	.

A	PRE	a
Dieu	NOMpro	Dieu
seul	ADJqua	sol
appartient	VERcjg	appartenir
la	DETdef	le
perfection	NOMcom	perfection
.	PONfrt	.

Mais	CONcoo	mais
quant	CONsub	cant
en	PRE	en
ung	DETndf	un
prince	NOMcom	prince
la	DETdef	le
vertu	NOMcom	vertu
et	CONcoo	et
bonnes	ADJqua	bon
condicions	NOMcom	condition
precèdent	VERcjg	précher
les	DETdef	le
vices	NOMcom	vice
,	PONfbl	,
il	PROper	il
est	VERcjg	estre
digne	ADJqua	digne
de	PRE	de
grand	ADJqua	grand
louenge	NOMcom	louange
,	PONfbl	,
veu	VERppe	voir
qu'	CONsub	que
ilz	PROper	il
sont	VERcjg	estre
plus	ADVgen	plus
enclins	ADJqua	enclin
a	PRE	a
toutes	DETind	tous
choses	NOMcom	chose
voluntaires	ADJqua	volontaire
que	CONsub	que
autres	DETind	autre
hommes	NOMcom	homme
,	PONfbl	,
tant	ADVgen	tant
pour	PRE	pour
la	DETdef	le
nourriture	NOMcom	nourriture
et	CONcoo	et
petit	ADJqua	petit
chastoy	NOMcom	chastoy
qu'	PROrel	que
ilz	PROper	il
ont	VERcjg	avoir
eu	VERppe	avoir
en	PRE	en
leurs	DETpos	leur
jeunesses	NOMcom	jeûnesse
que	CONsub	que
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
,	PONfbl	,
venans	VERppa	venir
en	PRE	en
l'	DETdef	le
aage	NOMcom	ëage
d'	PRE	de
homme	NOMcom	homme
,	PONfbl	,
la	DETdef	le
pluspart	NOMcom	plospard
des	PRE.DETdef	de.le
gens	NOMcom	gens
taschent	VERcjg	taschier
à	PRE	à
leur	PROper	leur
complaire	VERinf	complaire
et	CONcoo	et
à	PRE	à
leurs	DETpos	leur
complexions	NOMcom	complision
et	CONcoo	et
condicions	NOMcom	condition
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
je	PROper	je
ne	ADVneg	ne
vouldroye	VERcjg	vouloir
point	ADVneg	point
mentir	VERinf	mentir
,	PONfbl	,
se	PROper	soi
pourroit	VERcjg	pouvoir
faire	VERinf	faire
que	CONsub	que
,	PONfbl	,
en	PRE	en
quelque	DETind	quel
endroit	NOMcom	endroit
de	PRE	de
cest	DETdem	cest
escript	NOMcom	écrit
,	PONfbl	,
se	PROper	soi
pourroit	VERcjg	pouvoir
aulcune	DETind	aucun
chose	NOMcom	chose
trouver	VERinf	trouver
qui	PROrel	que
du	PRE.DETdef	de.le
tout	PROind	tout
ne	ADVneg	ne
seroit	VERcjg	estre
à	PRE	à
sa	DETpos	son
louenge	NOMcom	louange
.	PONfrt	.

Mais	CONcoo	mais
j'	PROper	je
ay	VERcjg	avoir
esperance	NOMcom	espérance
que	CONsub	que
ceulx	PROdem	celui
qui	PROrel	que
le	PROper	il
liront	VERcjg	lire
considereront	VERcjg	considérer
les	DETdef	le
raisons	NOMcom	raison
dessusdictes	ADJqua	dessusdit
;	PONfbl	;
et	CONcoo	et
tant	ADVgen	tant
osé	VERcjg	oser
”	PONpdr	”
“	PONpga	“
je	PROper	je
bien	ADVgen	bien
dire	VERinf	dire
de	PRE	de
luy	PROper	lui
,	PONfbl	,
à	PRE	à
son	DETpos	son
loz	NOMcom	lot
,	PONfbl	,
qu'	CONsub	que
il	PROimp	il
ne	ADVneg	ne
me	PROper	je
semble	VERcjg	sembler
pas	ADVneg	pas
que	CONsub	que
jamais	ADVgen	jamais
j'	PROper	je
aye	VERcjg	avoir
congneu	VERppe	connaître
nul	DETind	nul
prince	NOMcom	prince
où	PROrel	où
il	PROimp	il
y	PROadv	y
eust	VERcjg	avoir
moins	ADVgen	moins
de	PRE	de
vices	NOMcom	vice
que	CONsub	que
en	PRE	en
luy	PROper	lui
,	PONfbl	,
à	PRE	à
regarder	VERinf	regarder
le	DETdef	le
tout	NOMcom	tout
.	PONfrt	.

Si	ADVgen	si
ay	VERcjg	avoir
”	PONpdr	”
“	PONpga	“
je	PROper	je
eu	VERppe	avoir
autant	ADVgen	autant
de	PRE	de
congnoissance	NOMcom	connaissance
de	PRE	de
grans	ADJqua	grand
princes	NOMcom	prince
et	CONcoo	et
autant	ADVgen	autant
de	PRE	de
communication	NOMcom	communication
avecques	PRE	avec
eulx	PROper	eux
que	CONsub	que
nul	DETind	nul
homme	NOMcom	homme
qui	PROrel	que
ait	VERcjg	avoir
regné	VERppe	regner
en	PRE	en
France	NOMpro	France
de	PRE	de
mon	DETpos	mon
temps	NOMcom	temps
,	PONfbl	,
tant	ADVgen	tant
de	PRE	de
ceulx	PROdem	celui
qui	PROrel	que
ont	VERcjg	avoir
regné	VERppe	regner
en	PRE	en
ce	DETdem	ce
royaulme	NOMcom	royaume
que	CONsub	que
en	PRE	en
Bretaigne	NOMpro	Bretaingne
et	CONcoo	et
en	PRE	en
ces	DETdem	ce
parties	NOMcom	partie
de	PRE	de
Flandres	NOMpro	Flandres
,	PONfbl	,
en	PRE	en
Allemaigne	NOMpro	Allemagne
,	PONfbl	,
Angleterre	NOMpro	Angleterre
,	PONfbl	,
Espaigne	NOMpro	Espagne
,	PONfbl	,
Portugal	NOMpro	Portugal
et	CONcoo	et
Italie	NOMpro	Italie
,	PONfbl	,
