Comment	ADVsub	comment
le	DETdef	le
duc	NOMcom	duc
Charles	NOMpro	Charles
de	PRE	de
Bourgongne	NOMpro	Burgonde
alla	VERcjg	aller
conquerir	VERinf	conquérir
le	DETdef	le
pays	NOMcom	pays
de	PRE	de
Gueldres	NOMpro	Gueldres
et	CONcoo	et
le	DETdef	le
droit	NOMcom	droit
qu'	PROrel	que
il	PROper	il
a	VERcjg	avoir
audit	PRE.DETcom	à.ledit
pays	NOMcom	pays
de	PRE	de
Gueldres	NOMpro	Gueldres
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
En	PRE	en
ceste	DETdem	cest
saison	NOMcom	saison
,	PONfbl	,
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
estoit	VERcjg	estre
allé	VERppe	aller
prendre	VERinf	prendre
le	DETdef	le
pays	NOMcom	pays
de	PRE	de
Gueldres	NOMpro	Gueldres
,	PONfbl	,
fondé	VERppe	fonder
sur	PRE	sur
une	DETndf	un
querelle	NOMcom	querelle
qui	PROrel	que
est	VERcjg	estre
digne	ADJqua	digne
d'	PRE	de
estre	VERinf	estre
racomptée	VERppe	racompter
pour	PRE	pour
veoir	VERinf	vëoir
les	DETdef	le
oeuvres	NOMcom	oeuvre
et	CONcoo	et
la	DETdef	le
puissance	NOMcom	poissance
de	PRE	de
Dieu	NOMpro	Dieu
.	PONfrt	.

Il	PROimp	il
y	PROadv	y
avoit	VERcjg	avoir
ung	DETndf	un
jeune	ADJqua	jeune
duc	NOMcom	duc
de	PRE	de
Gueldres	NOMpro	Gueldres
appellé	VERppe	appeler
Adolf	NOMpro	Adolf
,	PONfbl	,
lequel	PROrel	lequel
avoit	VERcjg	avoir
pour	PRE	pour
femme	NOMcom	femme
une	PROind	un
des	PRE.DETdef	de.le
filles	NOMcom	fille
de	PRE	de
Bourbon	NOMpro	Bourbon
,	PONfbl	,
soeur	NOMcom	soeur
de	PRE	de
monsr	NOMcom	moncre
Pierre	NOMpro	Pierre
de	PRE	de
Bourbon	NOMpro	Bourbon
,	PONfbl	,
qui	PROrel	que
règne	VERcjg	regner
aujourduy	ADVgen	aveuduid
,	PONfbl	,
et	CONcoo	et
l'	PROper	il
avoit	VERcjg	avoir
espousée	VERppe	esposer
en	PRE	en
ceste	DETdem	cest
maison	NOMcom	maison
de	PRE	de
Bourgongne	NOMpro	Burgonde
;	PONfbl	;
et	CONcoo	et
pour	PRE	pour
ceste	DETdem	cest
cause	NOMcom	cause
en	PROadv	en
avoient	VERcjg	avoir
quelques	DETind	quel
faveurs	NOMcom	faveur
.	PONfrt	.

Il	PROper	il
avoit	VERcjg	avoir
commis	VERppe	commettre
ung	DETndf	un
cas	NOMcom	cas
très	ADVgen	très
horrible	ADJqua	horrible
,	PONfbl	,
car	CONcoo	car
il	PROper	il
avoit	VERcjg	avoir
prins	VERppe	prendre
son	DETpos	son
père	NOMcom	père
prisonnier	NOMcom	prisonnier
à	PRE	à
ung	DETndf	un
soir	NOMcom	soir
,	PONfbl	,
comme	CONsub	comme
il	PROper	il
se	PROper	soi
vouloit	VERcjg	vouloir
aller	VERinf	aller
coucher	VERinf	coucher
,	PONfbl	,
et	CONcoo	et
mené	VERppe	mener
à	PRE	à
cinq	DETcar	cinq
lieues	NOMcom	lieue
d'	PRE	de
Allemaigne	NOMpro	Allemagne
sans	PRE	sans
chausses	NOMcom	chausse
par	PRE	par
ung	DETndf	un
temps	NOMcom	temps
très	ADVgen	très
froit	ADJqua	froit
,	PONfbl	,
et	CONcoo	et
le	PROper	il
mist	VERcjg	mettre
au	PRE.DETdef	a
fons	NOMcom	fonds
d'	PRE	de
une	DETndf	un
tour	NOMcom	tour
où	PROrel	où
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
avoit	VERcjg	avoir
nulle	DETind	nul
clarté	NOMcom	clarté
que	ADVgen	que
par	PRE	par
une	DETndf	un
bien	ADVgen	bien
petite	ADJqua	petit
lucarne	NOMcom	lucarne
,	PONfbl	,
et	CONcoo	et
là	ADVgen	là
le	PROper	il
tint	VERcjg	tenir
cinq	DETcar	cinq
ans	NOMcom	an
:	PONfbl	:
dont	PROrel	dont
fut	VERcjg	être
grant	ADJqua	grant
guerre	NOMcom	guerre
entre	PRE	entre
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Clèves	NOMpro	Cleves
,	PONfbl	,
dont	PROrel	dont
ledict	DETcom	ledit
duc	NOMcom	duc
prisonnier	NOMcom	prisonnier
avoit	VERcjg	avoir
eu	VERppe	avoir
espousée	VERppe	esposer
la	DETdef	le
soeur	NOMcom	soeur
,	PONfbl	,
et	CONcoo	et
ce	PROdem	ce
dit	VERcjg	dire
jeune	ADJqua	jeune
duc	NOMcom	duc
Adolf	NOMpro	Adolf
.	PONfrt	.

Le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
plusieurs	DETind	plusieurs
fois	NOMcom	fois
les	PROper	il
voulut	VERcjg	vouloir
appoincter	VERinf	appointer
,	PONfbl	,
mais	CONcoo	mais
il	PROper	il
ne	ADVneg	ne
peüt	VERcjg	pöoir
.	PONfrt	.

Le	DETdef	le
pape	NOMcom	pape
et	CONcoo	et
l'	DETdef	le
empereur	NOMcom	empereur
à	PRE	à
la	DETdef	le
fin	NOMcom	fin
y	PROadv	y
misrent	VERcjg	mettre
fort	ADVgen	fort
la	DETdef	le
main	NOMcom	main
,	PONfbl	,
et	CONcoo	et
sur	PRE	sur
grans	ADJqua	grand
peines	NOMcom	peine
fut	VERcjg	être
commandé	VERppe	commander
audict	PRE.DETcom	à.ledit
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
de	PRE	de
tirer	VERinf	tirer
ledict	DETcom	ledit
duc	NOMcom	duc
Arnoul	NOMpro	Arnould
hors	ADVgen	hors
de	PRE	de
prison	NOMcom	prison
.	PONfrt	.

Ainsi	ADVgen	ainsi
le	PROper	il
feït	VERcjg	faire
,	PONfbl	,
car	CONcoo	car
le	DETdef	le
jeune	ADJqua	jeune
duc	NOMcom	duc
n'	ADVneg	ne
osa	VERcjg	oser
denyer	NOMcom	denier
de	PRE	de
luy	PROper	lui
