CHRONIQUE	NOMcom	chonneur
D'	PRE	de
ENGUERRAN	NOMpro	Enguerron
DE	PRE	de
MONSTRELET	NOMpro	Munts
.	PONfrt	.

LIVRE	NOMcom	livre
SECOND	ETR	Saud
.	PONfrt	.

.	PONfrt	.

Comment	ADVsub	comment
la	DETdef	le
duchesse	NOMcom	douche
de	PRE	de
Bourgongne	NOMpro	Burgonde
se	PROper	soi
parti	VERcjg	partir
du	PRE.DETdef	de.le
roy	NOMcom	roi
Charles	NOMpro	Charles
estant	VERppa	être
à	PRE	à
Laon	NOMpro	Laon
et	CONcoo	et
retourna	VERcjg	retourner
au	PRE.DETdef	a
Quesnoy	NOMpro	Quesnoy
,	PONfbl	,
où	PROrel	où
alors	ADVgen	alors
estoit	VERcjg	estre
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
son	DETpos	son
mari	NOMcom	mari
.	PONfrt	.

Au	PRE.DETdef	a
commencement	NOMcom	commencement
de	PRE	de
cest	DETdem	cest
an	NOMcom	an
,	PONfbl	,
Charles	NOMpro	Charles
,	PONfbl	,
roy	NOMcom	roi
de	PRE	de
France	NOMpro	France
,	PONfbl	,
estant	VERppa	être
à	PRE	à
Laon	NOMpro	Laon
,	PONfbl	,
où	PROrel	où
il	PROper	il
avoit	VERcjg	avoir
solempnisé	VERppe	solennir
la	DETdef	le
feste	NOMcom	fête
de	PRE	de
la	DETdef	le
résurrection	NOMcom	résurrection
Jhésucrist	NOMpro	Jésus-Christ
en	PRE	en
l'	DETdef	le
ostel	NOMcom	ostel
ébiscopal	ADJqua	ébiscal
de	PRE	de
l'	DETdef	le
évesque	NOMcom	évêque
d'	PRE	de
ycelle	DETdem	cil
cité	NOMcom	cité
de	PRE	de
Laon	NOMpro	Laon
,	PONfbl	,
tenant	VERppa	tenir
pluiseurs	DETind	plusieurs
grans	ADJqua	grand
consaulz	NOMcom	conseil
sur	PRE	sur
les	DETdef	le
requestes	NOMcom	requête
que	PROrel	que
luy	PROper	lui
avoit	VERcjg	avoir
faites	VERppe	faire
la	DETdef	le
duchesse	NOMcom	douche
de	PRE	de
Bourgongne	NOMpro	Burgonde
et	CONcoo	et
ceulx	PROdem	celui
de	PRE	de
son	DETpos	son
conseil	NOMcom	conseil
,	PONfbl	,
en	PRE	en
la	DETdef	le
fin	NOMcom	fin
desquelz	PRE.DETrel	de.lequel
consaulx	NOMcom	conseil
finablement	ADVgen	finablement
,	PONfbl	,
comme	CONsub	comme
j'	PROper	je
ay	VERcjg	avoir
jà	ADVgen	jà
déclairié	VERppe	déclairer
,	PONfbl	,
ly	PROper	li
en	PROadv	en
furent	VERcjg	estre
peu	ADVgen	peu
accordées	VERppe	accorder
.	PONfrt	.

Dont	PROrel	dont
elle	PROper	elle
ne	ADVneg	ne
fut	VERcjg	être
point	ADVneg	point
bien	ADVgen	bien
contente	ADJqua	content
,	PONfbl	,
et	CONcoo	et
appercut	VERcjg	apercevoir
assés	ADVgen	assez
clèrement	ADVgen	clirement
,	PONfbl	,
et	CONcoo	et
aussy	ADVgen	aussi
firent	VERcjg	faire
ceulz	PROdem	celui
qui	PROrel	que
estoient	VERcjg	être
avec	PRE	avec
elle	PROper	elle
,	PONfbl	,
que	CONsub	que
les	DETdef	le
gouverneurs	NOMcom	gouverneur
d'	PRE	de
ycelui	DETdem	cil
Roy	NOMcom	roi
n'	ADVneg	ne
avoient	VERcjg	avoir
mie	ADVneg	mie
bien	ADVgen	bien
agréable	ADJqua	agréable
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
ne	CONcoo	ne
ses	DETpos	son
besongnes	NOMcom	besogne
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
tant	ADVgen	tant
,	PONfbl	,
elle	PROper	elle
véant	VERppa	voir
que	CONsub	que
sa	DETpos	son
demeure	NOMcom	demeure
yluceq	ADVgen	illuec
ne	ADVneg	ne
ly	PROper	li
estoit	VERcjg	estre
mie	ADVneg	mie
gramment	ADVgen	gramment
prouffitable	ADJqua	profitable
,	PONfbl	,
prinst	VERcjg	prendre
congié	NOMcom	congié
au	PRE.DETdef	a
dessusdit	ADJqua	dessus-dit
Roy	NOMcom	roi
,	PONfbl	,
et	CONcoo	et
le	PROper	il
remercia	VERcjg	remercier
de	PRE	de
l'	DETdef	le
honneur	NOMcom	honneur
et	CONcoo	et
bonne	ADJqua	bon
récepcion	NOMcom	réception
qu'	PROrel	que
il	PROper	il
luy	PROper	lui
avoit	VERcjg	avoir
faite	VERppe	faire
.	PONfrt	.

Et	CONcoo	et
après	PRE	après
luy	PROper	lui
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Monseigneur	NOMcom	monseigneur
,	PONfbl	,
de	PRE	de
toutes	DETind	tous
les	DETdef	le
requestes	NOMcom	requête
que	PROrel	que
je	PROper	je
vous	PROper	vous
ay	VERcjg	avoir
faites	VERppe	faire
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
avés	VERcjg	avoir
nulles	PROind	nul
octroiiées	VERppe	octroyer
ne	CONcoo	ne
accordées	VERppe	accorder
,	PONfbl	,
jà	ADVgen	jà
soit	VERcjg	estre
”	PONpdr	”
“	PONpga	“
il	PROper	il
seloncq	PRE	selon
mon	DETpos	mon
advis	NOMcom	avis
qu'	CONsub	que
elles	PROper	elle
fussent	VERcjg	estre
assés	ADVgen	assez
raisonnables	ADJqua	raisonnable
.	PONfbl	.
”	PONpdr	”
A	PRE	a
quoy	PROrel	quoi
le	DETdef	le
Roy	NOMcom	roi
ly	PROper	li
respondi	VERcjg	répondre
assés	ADVgen	assez
courtoisement	ADVgen	courtoisement
,	PONfbl	,
en	PRE	en
disant	VERppa	dire
:	PONfbl	:
“	PONpga	“
Belle	ADJqua	beau
seur	NOMcom	sor
,	PONfbl	,
ce	PROdem	ce
poise	VERcjg	peser
nous	PROper	nous
que	CONsub	que
aultrement	ADVgen	autrement
ne	ADVneg	ne
se	PROper	soi
puet	VERcjg	pöoir
faire	VERinf	faire
.	PONfrt	.

Car	CONcoo	car
seloncq	PRE	selon
ce	PROdem	ce
que	PROrel	que
nous	PROper	nous
trouvons	VERcjg	trouver
en	PRE	en
nostre	DETpos	notre
conseil	NOMcom	conseil
,	PONfbl	,
à	PRE	à
cui	PROrel	que
en	PROadv	en
avons	VERcjg	avoir
parlé	VERppe	parler
bien	ADVgen	bien
au	PRE.DETdef	a
long	NOMcom	loin
,	PONfbl	,
ycelles	DETdem	cil
requestes	NOMcom	requête
nous	PROper	nous
seroient	VERcjg	estre
moult	ADVgen	moult
préjudiciables	ADJqua	préjudicable
à	PRE	à
accorder	VERinf	accorder
.	PONfbl	.
”	PONpdr	”
Après	PRE	après
lesquelles	DETrel	lequel
parolles	NOMcom	parole
elle	PROper	elle
prinst	VERcjg	prendre
congé	NOMcom	congé
,	PONfbl	,
comme	CONsub	comme
dict	VERppe	dire
est	VERcjg	estre
,	PONfbl	,
au	PRE.DETdef	a
Roy	NOMcom	roi
,	PONfbl	,
et	CONcoo	et
à	PRE	à
son	DETpos	son
fils	NOMcom	fils
le	DETdef	le
Daulfin	NOMpro	Daufin
.	PONfrt	.

Puis	ADVgen	puis
se	PROper	soi
parti	VERcjg	partir
de	PRE	de
là	ADVgen	là
et	CONcoo	et
s'	PROper	soi
en	PROadv	en
vint	VERcjg	venir
ou	PRE.DETdef	en.le
giste	NOMcom	giste
à	PRE	à
SaintQuentin	NOMpro	Saint-Quentin
,	PONfbl	,
avec	PRE	avec
elle	PROper	elle
toutes	DETind	tous
ses	DETpos	son
gens	NOMcom	gens
.	PONfrt	.

Et	CONcoo	et
le	PROper	il
raconduisi	VERcjg	raconduire
le	DETdef	le
connestable	NOMcom	connétable
et	CONcoo	et
aulcuns	DETind	aucun
aultres	PROind	autre
,	PONfbl	,
grand	ADJqua	grand
espace	NOMcom	espace
.	PONfrt	.

Duquel	PRE.DETrel	de.lequel
lieu	NOMcom	lieu
de	PRE	de
SaintQuentin	ADJqua	saint-ventin
elle	PROper	elle
s'	PROper	soi
en	PROadv	en
vint	VERcjg	venir
lendemain	ADVgen	lendemain
disner	VERinf	disner
au	PRE.DETdef	a
Chastel	NOMcom	chastel
en	PRE	en
Cambrésis	NOMpro	Cambresis
.	PONfrt	.

Et	CONcoo	et
à	PRE	à
ceste	DETdem	cest
heure	NOMcom	heure
estoient	VERcjg	être
alés	VERppe	aller
aulcunes	DETind	aucun
gens	NOMcom	gens
dudit	PRE.DETcom	de.ledit
roy	NOMcom	roi
,	PONfbl	,
fouragier	VERinf	foragier
ou	PRE.DETdef	en.le
pays	NOMcom	pays
de	PRE	de
Haynau	NOMpro	Haunaut
et	CONcoo	et
ès	PRE.DETdef	en.le
marches	NOMcom	marche
à	PRE	à
l'	DETdef	le
environ	NOMcom	environ
;	PONfbl	;
et	CONcoo	et
emmenoient	VERcjg	emmener
moult	ADVgen	moult
