Ainsi	ADVgen	ainsi
se	PROper	soi
passèrent	VERcjg	passer
aucunes	DETind	aucun
années	NOMcom	année
durant	PRE	durant
lesquelles	PROrel	lequel
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
avoit	VERcjg	avoir
guerre	NOMcom	guerre
chascun	DETind	chascun
an	NOMcom	an
avecques	PRE	avec
les	DETdef	le
Liégeoys	NOMpro	Lieger
.	PONfrt	.

Quant	CONsub	quand
le	DETdef	le
roy	NOMcom	roi
le	PROper	il
veoit	VERcjg	voir
empesché	VERppe	empeschier
,	PONfbl	,
il	PROper	il
essayoit	VERcjg	essaiier
à	PRE	à
faire	VERinf	faire
quelque	DETind	quel
nouveaulté	NOMcom	nouveauté
contre	PRE	contre
les	DETdef	le
Bretons	NOMpro	breton
,	PONfbl	,
en	PRE	en
faisant	VERppa	faire
quelque	ADVgen	quel
peu	ADVgen	peu
de	PRE	de
confort	NOMcom	confort
aux	PRE.DETdef	à.le
Liégeoys	NOMpro	Lieger
.	PONfrt	.

Tantost	ADVgen	tantost
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
se	PROper	soi
tournoit	VERcjg	tourner
contre	PRE	contre
luy	PROper	lui
pour	PRE	pour
secourir	VERinf	secourir
ses	DETpos	son
aliéz	NOMcom	allé
,	PONfbl	,
ou	PROrel	où
eulx	PROper	eux
mesmes	ADJind	même
faisoient	VERcjg	faire
quelque	DETind	quel
traictié	NOMcom	traité
ou	CONcoo	o
quelque	DETind	quel
trefve	NOMcom	trefve
.	PONfrt	.

En	PRE	en
l'	DETdef	le
an	NOMcom	an
mil	ADJcar	mille
quatre	ADJcar	quatre
cens	ADJcar	cent
soixante	ADJcar	soixante
six	ADJcar	six
,	PONfbl	,
fut	VERcjg	être
prins	VERppe	prendre
Dinant	NOMpro	Dinant
,	PONfbl	,
assise	VERppe	assëoir
ou	PRE.DETdef	en.le
pays	NOMcom	pays
de	PRE	de
Liége	NOMpro	Liège
(	PONpga	(
ville	NOMcom	ville
très	ADVgen	très
forte	ADJqua	fort
de	PRE	de
sa	DETpos	son
grandeur	NOMcom	grandeur
et	CONcoo	et
très	ADVgen	très
riche	ADJqua	riche
à	PRE	à
cause	NOMcom	cause
d'	PRE	de
une	DETndf	un
marchandise	NOMcom	marchandise
qu'	PROrel	que
ilz	PROper	il
faisoient	VERcjg	faire
de	PRE	de
ces	DETdem	ce
ouvraiges	NOMcom	ouvrage
de	PRE	de
cuyvre	NOMcom	cuivre
qu'	PROrel	que
on	PROind	on
appelle	VERcjg	appeler
dynanderie	NOMcom	dinanderie
,	PONfbl	,
qui	PROrel	que
sont	VERcjg	estre
,	PONfbl	,
en	PRE	en
effect	NOMcom	éfait
,	PONfbl	,
potz	NOMcom	pot
et	CONcoo	et
pesles	NOMcom	pesle
et	CONcoo	et
choses	NOMcom	chose
semblables	ADJqua	semblable
)	PONpdr	)
,	PONfbl	,
par	PRE	par
ledict	DETcom	ledit
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
dès	PRE	dès
avant	PRE	avant
le	DETdef	le
trespas	NOMcom	trespas
de	PRE	de
son	DETpos	son
père	NOMcom	père
le	DETdef	le
duc	NOMcom	duc
Philippes	NOMpro	Philippe
,	PONfbl	,
lequel	PROrel	lequel
trespassa	VERcjg	trépasser
ou	PRE.DETdef	en.le
moys	NOMcom	mois
de	PRE	de
juing	NOMcom	jüin
l'	DETdef	le
an	NOMcom	an
mil	ADJcar	mille
quatre	ADJcar	quatre
cens	ADJcar	cent
soixante	ADJcar	soixante
sept	ADJcar	sept
.	PONfrt	.

Et	CONcoo	et
se	PROper	soi
fist	VERcjg	faire
mener	VERinf	mener
ledict	DETcom	ledit
duc	NOMcom	duc
Philippes	NOMpro	Philippe
de	PRE	de
Bourgongne	NOMpro	Burgonde
en	PRE	en
sa	DETpos	son
grant	ADJqua	grant
vieillesse	NOMcom	vieillesse
en	PRE	en
une	DETndf	un
lictière	NOMcom	lictiere
,	PONfbl	,
tant	ADVgen	tant
avoit	VERcjg	avoir
de	PRE	de
hayne	NOMcom	haine
contre	PRE	contre
eulx	PROper	eux
pour	PRE	pour
les	DETdef	le
grans	ADJqua	grand
cruaultéz	NOMcom	cruauté
dont	PROrel	dont
ilz	PROper	il
usoient	VERcjg	user
contre	PRE	contre
ses	DETpos	son
subjectz	NOMcom	sujét
en	PRE	en
la	DETdef	le
conté	NOMcom	comté
de	PRE	de
Namur	NOMpro	Namur
,	PONfbl	,
et	CONcoo	et
par	PRE	par
especial	NOMcom	especïal
contre	PRE	contre
ceulx	PROdem	celui
de	PRE	de
Bouvynies	NOMpro	Bouvinie
,	PONfbl	,
une	DETndf	un
petite	ADJqua	petit
ville	NOMcom	ville
assise	VERppe	assëoir
à	PRE	à
un	DETndf	un
quart	NOMcom	cart
de	PRE	de
lieue	NOMcom	lieue
près	ADVgen	près
dudit	PRE.DETcom	de.ledit
lieu	NOMcom	lieu
de	PRE	de
Dynant	NOMpro	Dinant
,	PONfbl	,
et	CONcoo	et
n'	ADVneg	ne
y	PROadv	y
avoit	VERcjg	avoir
que	ADVgen	que
la	DETdef	le
rivière	NOMcom	riviere
de	PRE	de
Meuse	NOMpro	Meuse
entre	PRE	entre
deux	PROcar	deux
.	PONfrt	.

Et	CONcoo	et
n'	ADVneg	ne
y	PROadv	y
avoit	VERcjg	avoir
guères	ADVgen	gaire
que	CONsub	que
lesdictz	NOMcom	lesdic
de	PRE	de
Dynant	NOMpro	Dinant
y	PROadv	y
avoient	VERcjg	avoir
tenu	VERppe	tenir
le	DETdef	le
siège	NOMcom	siège
,	PONfbl	,
la	DETdef	le
rivière	NOMcom	riviere
entre	PRE	entre
deux	PROcar	deux
,	PONfbl	,
l'	DETdef	le
espace	NOMcom	espace
de	PRE	de
huyct	DETcar	huit
mois	NOMcom	mois
,	PONfbl	,
et	CONcoo	et
faict	VERcjg	faire
plusieurs	DETind	plusieurs
cruaultéz	NOMcom	cruauté
ès	PRE.DETdef	en.le
environ	NOMcom	environ
;	PONfbl	;
et	CONcoo	et
tiroient	VERcjg	tirer
de	PRE	de
deux	DETcar	deux
bombardes	NOMcom	bombarde
et	CONcoo	et
autres	DETind	autre
pièces	NOMcom	pièce
de	PRE	de
grosse	ADJqua	gros
artillerie	NOMcom	artillère
continuellement	ADVgen	continuellement
durant	PRE	durant
ce	DETdem	ce
temps	NOMcom	temps
au	PRE.DETdef	a
travers	NOMcom	travers
des	PRE.DETdef	de.le
maisons	NOMcom	maison
de	PRE	de
ladicte	DETcom	ladit
ville	NOMcom	ville
de	PRE	de
Bouvynies	NOMpro	Bouvinie
et	CONcoo	et
contraignoient	VERcjg	contraindre
les	DETdef	le
pouvres	ADJqua	pauvre
gens	NOMcom	gens
de	PRE	de
eulx	PROper	eux
cacher	VERinf	chasser
en	PRE	en
leurs	DETpos	leur
caves	NOMcom	chave
et	CONcoo	et
y	PROadv	y
demourer	VERinf	demeurer
.	PONfrt	.

Il	PROimp	il
n'	ADVneg	ne
est	VERcjg	estre
creable	ADJqua	croyable
la	DETdef	le
hayne	NOMcom	haine
que	PROrel	que
avoient	VERcjg	avoir
ces	DETdem	ce
deux	ADJcar	deux
villes	NOMcom	ville
l'	DETdef	le
une	PROind	un
contre	PRE	contre
l'	DETdef	le
autre	PROind	autre
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
ne	ADVneg	ne
faisoient	VERcjg	faire
guères	ADVgen	gaire
de	PRE	de
mariages	NOMcom	marïage
de	PRE	de
leurs	DETpos	leur
enfans	NOMcom	enfant
,	PONfbl	,
sinon	PRE	sinon
les	DETdef	le
ungs	PROind	un
avecques	PRE	avec
les	DETdef	le
autres	PROind	autre
,	PONfbl	,
car	CONcoo	car
ilz	PROper	il
estoient	VERcjg	être
loing	ADVgen	loing
de	PRE	de
toutes	DETind	tous
autres	ADJind	autre
bonnes	ADJqua	bon
villes	NOMcom	ville
.	PONfrt	.

L'	DETdef	le
an	NOMcom	an
precédent	ADVgen	précédent
de	PRE	de
la	DETdef	le
destruction	NOMcom	destruction
dudict	PRE.DETcom	de.ledit
Dynant	NOMpro	Dinant
,	PONfbl	,
qui	PROrel	que
fut	VERcjg	être
la	DETdef	le
saison	NOMcom	saison
que	PROrel	que
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Charroloys	NOMpro	Charrelois
estoit	VERcjg	estre
revenu	VERppe	revenir
de	PRE	de
devant	PRE	devant
Paris	NOMpro	Paris
,	PONfbl	,
où	PROrel	où
avoit	VERcjg	avoir
esté	VERppe	être
avec	PRE	avec
les	DETdef	le
autres	ADJind	autre
seigneurs	NOMcom	seigneur
de	PRE	de
France	NOMpro	France
,	PONfbl	,
comme	CONsub	comme
avez	VERcjg	avoir
ouy	VERppe	ouïr
,	PONfbl	,
ilz	PROper	il
avoient	VERcjg	avoir
faict	VERppe	faire
ung	DETndf	un
appointement	NOMcom	appointement
avec	PRE	avec
ledict	DETcom	ledit
seigneur	NOMcom	seigneur
et	CONcoo	et
paix	NOMcom	paix
et	CONcoo	et
luy	PROper	lui
donnèrent	VERcjg	donner
certaine	DETind	certain
somme	NOMcom	somme
d'	PRE	de
argent	NOMcom	argent
.	PONfrt	.

Et	CONcoo	et
s'	PROper	soi
estoient	VERcjg	être
separéz	VERppe	separer
de	PRE	de
la	DETdef	le
cité	NOMcom	cité
du	PRE.DETdef	de.le
Liége	NOMpro	Liège
et	CONcoo	et
fait	VERppe	faire
leur	DETpos	leur
faict	NOMcom	fait
à	PRE	à
part	NOMcom	part
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
le	DETdef	le
vray	ADJqua	vrai
signe	NOMcom	signe
de	PRE	de
la	DETdef	le
destruction	NOMcom	destruction
d'	PRE	de
un	DETndf	un
pays	NOMcom	pays
,	PONfbl	,
quant	CONsub	cant
ceulx	PROdem	celui
qui	PROrel	que
se	PROper	soi
doyvent	VERcjg	devoir
tenir	VERinf	tenir
ensemble	ADVgen	ensemble
se	PROper	soi
separent	VERcjg	sepourir
et	CONcoo	et
se	PROper	soi
habandonnent	VERcjg	habandonner
.	PONfrt	.

Je	PROper	je
le	PROper	il
dy	VERcjg	dire
aussi	ADVgen	aussi
bien	ADVgen	bien
pour	PRE	pour
les	DETdef	le
princes	NOMcom	prince
et	CONcoo	et
seigneurs	NOMcom	seigneur
allyéz	VERppe	aller
ensemble	ADVgen	ensemble
,	PONfbl	,
comme	CONsub	comme
pour	PRE	pour
villes	NOMcom	ville
et	CONcoo	et
communautéz	NOMcom	communauté
;	PONfbl	;
mais	CONcoo	mais
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROimp	il
me	PROper	je
semble	VERcjg	sembler
que	CONsub	que
chascun	PROind	chascun
peut	VERcjg	pouvoir
avoir	VERinf	avoir
veü	VERppe	vëoir
et	CONcoo	et
leü	VERppe	lire
de	PRE	de
ces	DETdem	ce
exemples	NOMcom	exemple
,	PONfbl	,
je	PROper	je
m'	PROper	je
en	PROadv	en
tais	VERcjg	taire
.	PONfrt	.

Or	ADVgen	or
est	VERcjg	estre
à	PRE	à
noter	VERinf	noter
que	CONsub	que
le	DETdef	le
roy	NOMcom	roi
Loys	NOMpro	Loeïs
,	PONfbl	,
nostre	DETpos	notre
dit	VERcjg	dire
maistre	NOMcom	maître
,	PONfbl	,
a	VERcjg	avoir
myeulx	ADVgen	mieux
sceü	VERppe	savoir
entendre	VERinf	entendre
cest	DETdem	cest
art	NOMcom	art
de	PRE	de
separer	VERinf	separer
les	DETdef	le
gens	NOMcom	gens
que	CONsub	que
nul	DETind	nul
autre	ADJind	autre
prince	NOMcom	prince
que	PROrel	que
jamais	ADVgen	jamais
je	PROper	je
congneü	VERcjg	connaître
et	CONcoo	et
n'	ADVneg	ne
espargna	VERcjg	épargner
l'	DETdef	le
argent	NOMcom	argent
ne	CONcoo	ne
ses	DETpos	son
biens	NOMcom	bien
ne	CONcoo	ne
sa	DETpos	son
peine	NOMcom	peine
,	PONfbl	,
et	CONcoo	et
non	ADVneg	non
point	ADVneg	point
seulement	ADVgen	seulement
envers	PRE	envers
les	DETdef	le
maistres	NOMcom	maître
,	PONfbl	,
mais	CONcoo	mais
aussi	ADVgen	aussi
bien	ADVgen	bien
envers	PRE	envers
les	DETdef	le
serviteurs	NOMcom	serviteur
.	PONfrt	.

Ainsi	ADVgen	ainsi
ceulx	PROdem	celui
de	PRE	de
Dynant	NOMpro	Dinant
se	PROper	soi
commancèrent	VERcjg	commencer
tost	ADVgen	tost
à	PRE	à
repentir	VERinf	repentir
de	PRE	de
cest	DETdem	cest
appoinctement	NOMcom	appointement
dessusdict	ADJqua	dessus-dit
,	PONfbl	,
et	CONcoo	et
feïrent	VERcjg	faire
cruellement	ADVgen	cruellement
mourir	VERinf	mourir
quatre	PROcar	catre
de	PRE	de
leurs	DETpos	leur
principaulx	ADJqua	principal
bourgeois	NOMcom	bourgeois
qui	PROrel	que
avoient	VERcjg	avoir
fait	VERppe	faire
ledict	DETcom	ledit
traictié	NOMcom	traité
.	PONfrt	.

Et	CONcoo	et
recommancèrent	VERcjg	recommencer
la	DETdef	le
guerre	NOMcom	guerre
en	PRE	en
ceste	DETdem	cest
conté	NOMcom	comté
de	PRE	de
Namur	NOMpro	Namur
,	PONfbl	,
tant	ADVgen	tant
pour	PRE	pour
ces	DETdem	ce
raisons	NOMcom	raison
que	CONsub	que
pour	PRE	pour
la	DETdef	le
sollicitation	NOMcom	solicitation
que	PROrel	que
faisoient	VERcjg	faire
ceulx	PROdem	celui
de	PRE	de
Bouvynies	NOMpro	Bouvinie
.	PONfrt	.

Le	DETdef	le
siège	NOMcom	siège
y	PROadv	y
fut	VERcjg	être
mys	VERppe	metre
par	PRE	par
le	DETdef	le
duc	NOMcom	duc
Philippes	NOMpro	Philippe
;	PONfbl	;
mais	CONcoo	mais
la	DETdef	le
conduycte	NOMcom	conduite
de	PRE	de
l'	DETdef	le
armée	NOMcom	armée
estoit	VERcjg	estre
à	PRE	à
son	DETpos	son
filz	NOMcom	fil
;	PONfbl	;
et	CONcoo	et
y	PROadv	y
vint	VERcjg	venir
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Sainct	ADJqua	saint
Pol	NOMpro	Paul
,	PONfbl	,
connestable	NOMcom	connétable
de	PRE	de
France	NOMpro	France
,	PONfbl	,
à	PRE	à
leur	DETpos	leur
secours	NOMcom	secours
,	PONfbl	,
partant	ADVgen	partant
de	PRE	de
sa	DETpos	son
maison	NOMcom	maison
,	PONfbl	,
et	CONcoo	et
non	ADVneg	non
pas	ADVneg	pas
par	PRE	par
auctorité	NOMcom	autorité
du	PRE.DETdef	de.le
roy	NOMcom	roi
ny	CONcoo	ni
avecques	PRE	avec
ses	DETpos	son
gens	NOMcom	gens
d'	PRE	de
armes	NOMcom	arme
,	PONfbl	,
mais	CONcoo	mais
amena	VERcjg	amener
de	PRE	de
ceulx	PROdem	celui
qu'	PROrel	que
il	PROper	il
avoit	VERcjg	avoir
amasséz	VERppe	amasser
ès	PRE.DETdef	en.le
marches	NOMcom	marche
de	PRE	de
Picardye	NOMpro	Picardie
.	PONfrt	.

Orguilleusement	ADVgen	orgueilleusement
feïrent	VERcjg	faire
une	DETndf	un
saillie	NOMcom	saillie
