Beneois	VERppe	bénir
soit	VERcjg	estre
Nostres	DETpos	notre
Sires	NOMcom	sire
qui	PROrel	que
voulroit	VERcjg	vouloir
que	CONsub	que
cascuns	DETind	chacun
hom	NOMcom	homme
fust	VERcjg	estre
saus	ADJqua	sauf
et	CONcoo	et
que	CONsub	que
cascuns	PROind	chacun
venist	VERcjg	venir
a	PRE	a
le	DETdef	le
connissanche	NOMcom	connaissance
de	PRE	de
se	DETpos	son
verité	NOMcom	verité
.	PONfrt	.

Ses	DETpos	son
nons	NOMcom	nom
doit	VERcjg	devoir
estre	VERinf	estre
glorefiés	VERppe	glorifier
en	PRE	en
toutes	DETind	tous
coses	NOMcom	chose
,	PONfbl	,
car	CONcoo	car
il	PROper	il
fait	VERcjg	faire
des	PRE.DETdef	de.le
petiz	NOMcom	petit
grans	ADJqua	grand
et	CONcoo	et
des	PRE.DETdef	de.le
fous	NOMcom	feu
saiges	ADJqua	sage
et	CONcoo	et
des	PRE.DETdef	de.le
povres	ADJqua	pauvre
riches	ADJqua	riche
,	PONfbl	,
si	ADVgen	si
comme	CONsub	comme
nous	PROper	nous
veons	VERcjg	vëoir
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
aempli	VERppe	aemplir
en	PRE	en
ceste	DETdem	cest
glorieuse	ADJqua	glorieux
roine	NOMcom	reine
me	DETpos	mon
dame	NOMcom	dame
sainte	ADJqua	saint
Baltalt	NOMpro	Bathilde
,	PONfbl	,
de	PRE	de
la	DETdef	le
cui	PROrel	que
vie	NOMcom	vie
nos	PROper	nos
volons	VERcjg	vouloir
un	DETndf	un
peu	PROind	peu
parler	VERinf	parler
a	PRE	a
l'	DETdef	le
onnor	NOMcom	honneur
et	CONcoo	et
a	PRE	a
la	DETdef	le
gloire	NOMcom	gloire
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
.	PONfrt	.

Cheste	DETdem	cist
dame	NOMcom	dame
fu	VERcjg	estre
nee	VERppe	naistre
de	PRE	de
Sessoingneet	NOMpro	Saisoingne
estraite	VERppe	extraire
de	PRE	de
roial	ADJqua	royal
lignie	NOMcom	lignée
et	CONcoo	et
fu	VERcjg	estre
en	PRE	en
sa	DETpos	son
jonece	NOMcom	jeunesse
ravie	VERppe	ravir
de	PRE	de
mescreans	NOMcom	mécréant
et	CONcoo	et
fu	VERcjg	estre
par	PRE	par
le	DETdef	le
porveanche	NOMcom	pourvoyance
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
amenee	VERppe	amener
en	PRE	en
cest	DETdem	cest
païs	NOMcom	päis
et	CONcoo	et
vendue	VERppe	vendre
a	PRE	a
.i	PROcar	un
.	PONfrt	.

haut	ADJqua	haut
home	NOMcom	ome
qui	PROrel	que
avoit	VERcjg	avoir
non	NOMcom	nom
Erchenoalx	NOMpro	Erchinoald
et	CONcoo	et
estoit	VERcjg	estre
a	PRE	a
chest	DETdem	cist
tans	NOMcom	tens
mareschaus	NOMcom	maréchal
de	PRE	de
Franche	NOMpro	France
.	PONfrt	.

Ele	PROper	elle
le	PROper	il
servi	VERcjg	servir
si	ADVgen	si
bien	ADVgen	bien
et	CONcoo	et
si	ADVgen	si
honnestement	ADVgen	honnêtement
et	CONcoo	et
estoit	VERcjg	estre
de	PRE	de
si	ADVgen	si
tres	ADVgen	très
honeste	ADJqua	honnête
conversation	NOMcom	conversation
et	CONcoo	et
en	PRE	en
fait	NOMcom	fait
et	CONcoo	et
en	PRE	en
contenanche	NOMcom	contenance
que	CONsub	que
nus	PROind	nul
ne	ADVneg	ne
le	PROper	il
veoit	VERcjg	voir
qui	PROrel	que
ne	ADVneg	ne
l'	PROper	il
amast	VERcjg	amer
,	PONfbl	,
car	CONcoo	car
ele	PROper	il
estoit	VERcjg	estre
debonaire	ADJqua	debonaire
de	PRE	de
coraige	NOMcom	courage
et	CONcoo	et
humle	ADJqua	humble
et	CONcoo	et
simple	ADJqua	simple
et	CONcoo	et
saige	ADJqua	sage
et	CONcoo	et
sobre	ADJqua	sobre
et	CONcoo	et
a	PRE	a
nului	PROind	nul
ne	ADVneg	ne
voloit	VERcjg	voloir
mal	NOMcom	mal
.	PONfrt	.

Ele	PROper	elle
n'	ADVneg	ne
estoit	VERcjg	estre
mie	ADVneg	mie
legiere	ADJqua	léger
en	PRE	en
parole	NOMcom	parole
ne	CONcoo	ne
presumptueuse	ADJqua	présomptueux
,	PONfbl	,
ains	ADVgen	ains
atemproit	VERcjg	attemprer
toutes	DETind	tous
ses	DETpos	son
oevres	NOMcom	oeuvre
par	PRE	par
tres	ADVgen	très
honeste	ADJqua	honnête
engien	NOMcom	engin
.	PONfrt	.

Ele	PROper	elle
estoit	VERcjg	estre
mout	ADVgen	mout
bien	ADVgen	bien
faite	VERppe	faire
de	PRE	de
cors	NOMcom	corps
et	CONcoo	et
mout	ADVgen	mout
bele	ADJqua	bel
de	PRE	de
visaige	NOMcom	visage
et	CONcoo	et
de	PRE	de
mout	ADVgen	mout
lie	ADJqua	lié
chere	NOMcom	chère
et	CONcoo	et
atempree	VERppe	atemprer
en	PRE	en
aleure	NOMcom	allure
.	PONfrt	.

Ele	PROper	elle
trova	VERcjg	trover
si	ADVgen	si
grant	ADJqua	grant
grace	NOMcom	grâce
en	PRE	en
Erchenoalt	NOMpro	Erchinoald
par	PRE	par
ses	DETpos	son
bones	ADJqua	bon
meurs	NOMcom	mœurs
qu'	CONsub	que
il	PROper	il
l'	PROper	il
ama	VERcjg	amer
plus	ADVgen	plus
et	CONcoo	et
prisa	VERcjg	prisier
que	CONsub	que
toutes	DETind	tous
autres	ADJind	autre
gentilx	ADJqua	gentil
femes	NOMcom	femme
del	PRE.DETdef	de
païs	NOMcom	päis
qui	PROrel	que
entor	PRE	entour
li	PROper	il
estoient	VERcjg	être
,	PONfbl	,
si	ADVgen	si
qu'	CONsub	que
il	PROper	il
li	PROper	il
establi	VERcjg	établir
un	DETndf	un
mestier	NOMcom	mestier
que	CONsub	que
cascune	DETind	chacun
nuit	NOMcom	nuit
,	PONfbl	,
quant	CONsub	cant
il	PROper	il
se	PROper	soi
coucheroit	VERcjg	coucher
,	PONfbl	,
qu'	CONsub	que
ele	PROper	il
le	PROper	il
servist	VERcjg	servir
du	PRE.DETdef	de.le
vin	NOMcom	vin
et	CONcoo	et
ele	PROper	il
si	ADVgen	si
fist	VERcjg	faire
mout	ADVgen	mout
bel	ADJqua	bel
et	CONcoo	et
mout	ADVgen	mout
avenanment	ADVgen	avenamment
comme	CONsub	comme
tres	ADVgen	très
honeste	ADJqua	honnête
bouteilliere	NOMcom	bouteillère
,	PONfbl	,
mais	CONcoo	mais
onques	ADVgen	onque
por	PRE	por
che	PROdem	ce
s'	CONsub	se
ele	PROper	il
fu	VERcjg	estre
mieus	ADVgen	mieux
de	PRE	de
son	DETpos	son
seignor	NOMcom	seignor
que	CONsub	que
les	DETdef	le
aultres	PROind	autre
ne	ADVneg	ne
s'	PROper	soi
en	PROadv	en
glorefia	VERcjg	glorifier
ne	CONcoo	ne
mains	ADVgen	moins
n'	ADVneg	ne
en	PROadv	en
fu	VERcjg	estre
humle	ADJqua	humble
ne	CONcoo	ne
obeissans	ADJqua	obéissant
ne	CONcoo	ne
amiable	ADJqua	amiable
a	PRE	a
toutes	DETind	tous
ses	DETpos	son
compaignes	NOMcom	compagne
.	PONfrt	.

Ele	PROper	elle
par	ADVgen	par
portoit	VERcjg	porter
si	ADVgen	si
grant	ADJqua	grant
honnour	NOMcom	honneur
as	PRE.DETdef	à.le
ainsnees	NOMcom	aîné
de	PRE	de
li	PROper	il
